Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1847.888332936362,OUT049
FDW14,1569.3403950676077,OUT017
NCN55,1875.6146394540183,OUT010
FDQ58,2585.9069755168557,OUT017
FDY38,5184.48747725114,OUT027
FDH56,1924.3620775870172,OUT046
FDL48,600.9833054452836,OUT018
FDC48,2782.1132559615385,OUT027
FDN33,1510.6192424268193,OUT045
FDA36,3083.5309024469416,OUT017
FDT44,1996.4935037957075,OUT017
FDQ56,1311.665992354224,OUT045
NCC54,1857.140168149896,OUT019
FDU11,2054.1320238716557,OUT049
DRL59,893.7120228673716,OUT013
FDM24,2554.8631918675082,OUT049
FDI57,3086.7148934163397,OUT045
DRC12,2763.252136518213,OUT018
NCM42,3196.6908548906995,OUT027
FDA46,1135.578185773552,OUT010
FDA31,2803.7948709610296,OUT013
NCJ31,3883.4105157704516,OUT035
FDG52,802.6761242147207,OUT046
NCL19,362.2863873297432,OUT019
FDS10,3022.3819582516217,OUT035
FDX22,1456.510577559517,OUT010
NCF19,923.3255886047073,OUT035
NCE06,2536.7756336803263,OUT046
DRC27,3851.525659735191,OUT046
FDE21,2026.5084885115252,OUT035
NCR42,-1361.4598884169377,OUT019
FDX51,2866.8408286229524,OUT018
NCR06,427.6701335107789,OUT018
FDU31,4948.160424087801,OUT027
FDU59,2711.86539982912,OUT017
FDR03,4754.888792700401,OUT027
FDS49,2757.777229425728,OUT027
FDD48,-72.83631751890618,OUT010
NCF18,3119.4869521109913,OUT017
NCD43,3101.437769827624,OUT027
NCD54,1993.6221182893792,OUT018
FDY19,-35.80302287890288,OUT010
NCY54,2816.989368373549,OUT017
NCL19,2019.2352357305986,OUT018
FDP23,1530.4639265695841,OUT010
FDC26,1823.160560008208,OUT013
FDR14,-1029.5105777027914,OUT010
NCS41,3029.609080976776,OUT035
FDF41,4050.3778255297857,OUT035
FDU34,2001.0302033223488,OUT046
DRH11,929.1679965484452,OUT046
FDM03,1738.4438392924253,OUT013
FDS31,3025.8627612103055,OUT017
FDJ20,2100.9398818773607,OUT017
FDV44,4493.355610656387,OUT027
FDG02,3106.1972203150804,OUT049
FDA09,2910.7131479667128,OUT013
FDT04,679.322387847606,OUT013
FDL58,2290.7918233386285,OUT019
FDE52,1443.6955288524043,OUT045
FDW12,2505.549896729601,OUT035
FDL51,3553.4745238918813,OUT017
NCY42,3691.918132887464,OUT027
FDR07,1666.985163282235,OUT017
FDN40,2362.7811334748467,OUT045
FDB35,2958.4453398167784,OUT027
FDA22,2738.737533348184,OUT017
NCL06,4114.821055993226,OUT046
FDI35,2915.9125213200296,OUT013
NCW42,3413.3683740222045,OUT045
NCX06,2941.6454711707106,OUT049
FDC37,3200.6826263786857,OUT027
FDZ14,1732.471985666522,OUT018
DRG49,3955.6858091042322,OUT049
NCG06,3958.077543096999,OUT045
DRC36,2723.966122738233,OUT045
FDV21,60.21881177537614,OUT019
FDB53,2356.396120596325,OUT046
DRP47,2039.8332139681265,OUT019
FDA14,2349.481235052674,OUT013
DRC24,2572.275518735458,OUT035
FDW21,1403.2080747194038,OUT018
NCH29,1553.1657292194086,OUT046
FDU58,3075.6121785258965,OUT013
FDY27,2933.8778353929074,OUT017
FDV56,1952.1774661272902,OUT035
