Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1643.1381065656758,OUT049
FDW14,1366.3203519476187,OUT017
NCN55,574.5476346943019,OUT010
FDQ58,2462.088773924098,OUT017
FDY38,5841.936773929792,OUT027
FDH56,1941.019378192731,OUT046
FDL48,762.5228089782363,OUT018
FDC48,2125.1165556562673,OUT027
FDN33,1518.4727332837938,OUT045
FDA36,3105.606450513721,OUT017
FDT44,1925.7923057500789,OUT017
FDQ56,1359.5190725476161,OUT045
NCC54,574.4426367289543,OUT019
FDU11,2021.3575006911733,OUT049
DRL59,883.0468486585523,OUT013
FDM24,2455.9004260264396,OUT049
FDI57,3054.501126512783,OUT045
DRC12,2949.285855485957,OUT018
NCM42,2917.805094258159,OUT027
FDA46,505.8049361076564,OUT010
FDA31,2845.3256461862675,OUT013
NCJ31,3863.394138127108,OUT035
FDG52,784.4444859729063,OUT046
NCL19,286.0763256977792,OUT019
FDS10,3002.1901430379726,OUT035
FDX22,565.7354188299339,OUT010
NCF19,757.7979934569278,OUT035
NCE06,2546.2135112599826,OUT046
DRC27,3942.5847626353047,OUT046
FDE21,1965.0953282474322,OUT035
NCR42,131.76079577852545,OUT019
FDX51,2982.100908941559,OUT018
NCR06,614.8043720616438,OUT018
FDU31,5841.936773929792,OUT027
FDU59,2539.1318027299285,OUT017
FDR03,5841.936773929792,OUT027
FDS49,2064.2171306722307,OUT027
FDD48,268.68980558793317,OUT010
NCF18,3035.1631805440493,OUT017
NCD43,2863.4164286590267,OUT027
NCD54,2094.79823205499,OUT018
FDY19,268.78228860817757,OUT010
NCY54,2849.297705944023,OUT017
NCL19,2433.8307767383794,OUT018
FDP23,570.7116258170037,OUT010
FDC26,1737.611829120943,OUT013
FDR14,131.76079577852545,OUT010
NCS41,3124.7288641394316,OUT035
FDF41,3911.0191114661925,OUT035
FDU34,2042.2073933189674,OUT046
DRH11,973.5454883009904,OUT046
FDM03,1643.644535449744,OUT013
FDS31,3070.5315633025184,OUT017
FDJ20,1993.435286330808,OUT017
FDV44,5171.406840437152,OUT027
FDG02,3124.3437111170033,OUT049
FDA09,2981.6064933269513,OUT013
FDT04,710.987735742043,OUT013
FDL58,573.7301779046776,OUT019
FDE52,1382.3593667182106,OUT045
FDW12,2480.606298355916,OUT035
FDL51,3695.3485105286873,OUT017
NCY42,3011.020620517087,OUT027
FDR07,1544.8133490417351,OUT017
FDN40,2460.4418685370215,OUT045
FDB35,2688.992887547392,OUT027
FDA22,2541.0883100849906,OUT017
NCL06,4142.363787556037,OUT046
FDI35,3067.496394227493,OUT013
NCW42,3769.588518902788,OUT045
NCX06,3001.3872620371676,OUT049
FDC37,2891.4671742022033,OUT027
FDZ14,1947.0844755069973,OUT018
DRG49,3901.2455286179083,OUT049
NCG06,4102.9392601729305,OUT045
DRC36,2855.8300260090996,OUT045
FDV21,281.13022284543933,OUT019
FDB53,2498.398712537661,OUT046
DRP47,572.5655641066376,OUT019
FDA14,2455.8719510986016,OUT013
DRC24,2539.33666751281,OUT035
FDW21,1615.6637812747576,OUT018
NCH29,1547.4549315517334,OUT046
FDU58,3100.9119352888933,OUT013
FDY27,2888.070561177472,OUT017
FDV56,1655.2875019503635,OUT035
FDT59,3836.3967290644323,OUT046
FDB23,3779.970682036427,OUT046
FDR49,758.6333414889647,OUT045
FDB03,575.1200859755238,OUT010
FDN39,2624.293847913297,OUT045
FDX02,5841.936773929792,OUT027
FDQ16,2891.4671742022033,OUT027
FDU35,1558.8621115320775,OUT018
NCT29,2007.2478152928445,OUT013
FDZ27,784.7487920451148,OUT046
FDN57,2019.7650830969637,OUT017
FDA03,2431.992182686865,OUT018
FDZ36,3121.623783216885,OUT045
NCU05,1413.1875515087925,OUT013
FDT39,2388.255832049682,OUT018
FDK60,1545.9047007964693,OUT017
FDZ25,2787.680723584929,OUT017
FDG12,2091.682376877564,OUT046
DRB01,502.06895104637994,OUT019
NCC43,5843.632408210477,OUT027
FDX13,570.8049115264727,OUT019
FDM22,868.615730433753,OUT049
FDJ03,1061.4565528134042,OUT027
FDU14,3786.3551809901796,OUT018
FDB33,379.5852605361455,OUT010
FDP27,3124.93877437563,OUT046
FDO38,158.37845227382894,OUT010
FDE28,5841.936773929792,OUT027
FDO27,1517.7471813280563,OUT035
DRL23,2887.9293508372625,OUT027
FDS28,973.669542810032,OUT046
FDX24,1460.6126522422376,OUT013
FDZ02,1542.4517498091582,OUT035
FDL46,1913.2969776617788,OUT045
FDS60,4810.840814936113,OUT027
NCO06,593.4755790550788,OUT017
FDO16,1353.7359207510576,OUT035
FDC60,1360.374826712533,OUT049
FDA48,3414.2568361059425,OUT018
FDZ36,5168.754201957357,OUT027
FDK27,2047.6923964779035,OUT045
FDW23,603.0043356826941,OUT018
FDM14,1693.321012821593,OUT018
FDM14,1644.748666159154,OUT013
FDW60,2814.4722910015616,OUT018
FDE21,1979.0950220587472,OUT013
NCM42,1655.2875019503635,OUT035
FDY59,228.33893915111577,OUT010
DRI49,1306.0139925724259,OUT049
FDT28,365.48458898515696,OUT019
FDQ22,605.3842096165157,OUT018
FDR60,1271.6492773328882,OUT049
FDC50,236.56801905568497,OUT019
FDV24,2402.3969870724745,OUT013
DRF48,485.0986690664524,OUT010
FDQ47,632.7674062169698,OUT046
DRN36,1539.1032144410378,OUT049
NCY06,2008.291783567513,OUT035
FDE52,1380.9395223602141,OUT035
NCB54,2004.6925833836524,OUT045
NCF31,2488.337757683832,OUT035
FDJ08,5185.659969361983,OUT027
NCC07,1649.4856441003856,OUT017
NCD19,1263.6410151686264,OUT027
FDL46,1973.4512601462252,OUT049
FDM20,3987.7020509367926,OUT045
NCI06,451.580042239084,OUT010
DRM11,4231.10419918878,OUT035
NCH07,2495.6589384899617,OUT018
FDS23,2027.0974923693973,OUT013
FDO49,761.4022097735356,OUT018
FDS35,1066.3107149636637,OUT049
DRK39,1342.0560281148898,OUT045
DRI39,907.1735775449604,OUT049
FDV04,2517.7896343749017,OUT017
NCN14,3061.1352588737586,OUT035
FDH08,3786.8736942344385,OUT013
FDS20,3143.934546514556,OUT046
FDV40,1155.1931250059752,OUT049
FDZ48,258.48316996471175,OUT010
FDS24,2556.9396489485234,OUT027
FDK44,2845.1779477634477,OUT049
FDS48,2522.612127336206,OUT045
FDK26,487.6453135775116,OUT010
FDD23,3096.289793133028,OUT045
NCH54,2597.9023578960596,OUT017
NCP14,242.3081314646431,OUT010
FDM60,131.76079577852545,OUT010
FDV24,2443.634394109382,OUT017
FDH08,3537.0020924964656,OUT018
FDS12,3003.7384942493004,OUT027
FDR39,4885.386672363902,OUT027
FDP12,979.1520924386209,OUT027
DRF60,5841.936773929792,OUT027
FDC09,1647.2740950748325,OUT035
FDF50,3012.151087266143,OUT018
FDG28,3994.4817826495882,OUT035
NCE19,882.1117129722543,OUT017
NCM53,251.38888324816037,OUT010
NCN18,1722.7781726423968,OUT049
FDF32,3130.3299629475514,OUT035
FDF11,3921.2188967034454,OUT013
DRI59,3742.3103707187424,OUT049
NCG54,2779.7867702351423,OUT035
FDM44,1638.0608525104676,OUT046
FDT57,3592.865255673665,OUT018
FDV24,2444.162855994049,OUT046
FDI50,572.1574034158448,OUT019
FDS09,770.9303837420101,OUT035
NCC31,4082.4397029540623,OUT027
FDQ07,574.4426367289543,OUT019
FDC22,3117.344654721275,OUT017
FDZ56,2777.35265814997,OUT046
FDZ40,131.76079577852545,OUT019
FDS46,2941.8134162597694,OUT027
DRD24,2064.2968626390375,OUT045
FDV45,3085.4398271426894,OUT017
FDL26,2526.0375678565965,OUT045
FDA56,2000.6249649119723,OUT018
FDN27,1972.5114110887591,OUT046
FDM20,3917.339802555181,OUT049
FDO16,1339.2103502448342,OUT017
FDL03,3002.062701257448,OUT035
FDE58,1953.4563500540157,OUT046
FDI02,2927.1023855815106,OUT027
NCC55,131.76079577852545,OUT019
FDR03,3218.9791206183518,OUT018
FDB14,1446.529408531965,OUT017
FDR45,3926.7003155420216,OUT013
NCN07,2038.0687208330821,OUT017
FDM51,248.08597716870477,OUT019
FDT52,5843.632408210477,OUT027
FDL26,2506.3960814679567,OUT046
NCZ42,3949.20981908657,OUT046
DRI47,365.3698173970089,OUT019
FDW40,2061.29792188178,OUT013
FDN34,2771.8009562554867,OUT046
FDS01,2930.4236176258496,OUT035
NCG55,1929.7524263331213,OUT045
FDC11,1356.8774691915357,OUT035
FDX35,3477.249854877541,OUT018
NCB06,2587.585398410023,OUT046
FDR09,572.5655641066376,OUT019
FDC53,1543.2069806875847,OUT017
FDY45,4130.274225644401,OUT013
FDA22,386.78502985158406,OUT010
FDE02,1516.2085665456425,OUT035
FDW21,1633.8903851041368,OUT045
FDV34,1204.2547352150712,OUT046
FDS59,1649.3348369824002,OUT049
NCW17,2065.651887118678,OUT017
NCK54,1966.0665317307505,OUT046
FDG17,572.1574034158448,OUT019
FDG35,2854.2766301408737,OUT017
FDD08,131.76079577852545,OUT010
NCO07,3695.964064289235,OUT017
FDJ10,278.25466745436637,OUT010
FDW36,1646.182743320098,OUT017
FDW21,240.21589858410044,OUT010
FDY19,1928.8328359558604,OUT017
DRE03,824.8933421233595,OUT013
NCC55,640.4436682791386,OUT049
FDH52,134.43144691355633,OUT010
FDO09,4047.168368156567,OUT017
FDU43,3957.8881323013275,OUT045
FDX09,424.0725026238474,OUT010
FDH40,198.53645419469143,OUT019
FDW58,1646.182743320098,OUT017
FDC47,3780.5609479066297,OUT017
NCR41,1504.3712275999087,OUT035
DRG49,3979.59073106292,OUT035
FDC52,4062.0907006369716,OUT027
FDY13,1209.212529208254,OUT046
FDY35,727.7722534389898,OUT013
FDI35,3109.334969267539,OUT017
NCU18,2081.896405635095,OUT049
FDY33,2501.9817681421905,OUT018
FDC15,4160.321527701756,OUT027
FDU01,3051.8619181551494,OUT049
NCU42,2779.8583207299257,OUT046
NCV29,2816.5395661899242,OUT018
NCY30,3039.5885023651276,OUT017
FDQ46,1741.3982785310486,OUT049
FDG58,4079.6869699477725,OUT027
FDK33,3695.532159601575,OUT017
NCD07,1902.364623530117,OUT045
NCX29,4020.9540759654947,OUT027
NCT42,2416.560978593697,OUT013
DRN59,754.8532876649739,OUT035
FDI44,1282.9971768631333,OUT035
FDA45,2834.170760243653,OUT049
FDP31,1058.947310970575,OUT045
FDY01,1940.483919431002,OUT046
FDT09,2032.6840371680946,OUT018
DRH03,2831.1536482774686,OUT027
FDA36,3020.6446928055234,OUT018
NCF31,2462.555986746479,OUT017
FDG14,2461.2717325447006,OUT049
FDG28,5843.632408210477,OUT027
FDU14,4062.7436033247823,OUT049
FDY47,285.4839489787786,OUT019
FDI56,1379.1989183119074,OUT049
DRD01,1051.8279766544706,OUT013
FDM22,973.5477102937293,OUT046
FDH33,720.6239238648591,OUT013
DRZ24,1937.7227917567966,OUT013
NCQ38,1646.808516437085,OUT046
FDO16,2332.478452093435,OUT027
FDU07,4049.915025106991,OUT027
NCB07,3006.686171593257,OUT013
FDU48,2021.4320843111582,OUT045
NCM43,2669.3122557588713,OUT045
FDR31,365.00994074447544,OUT010
DRK49,610.5438110060866,OUT018
NCI30,574.5476346943019,OUT010
DRD60,3063.22805649778,OUT017
NCG19,3782.0793810125797,OUT046
FDH12,1646.182743320098,OUT035
FDM32,1436.3024563220813,OUT035
FDM27,2543.266128762476,OUT035
NCU53,4246.835497912611,OUT027
NCQ18,1574.3042729446117,OUT046
FDS10,2902.4739499876723,OUT013
FDB33,4160.321527701756,OUT027
FDI12,1424.3460402657493,OUT013
NCW42,3662.017977429218,OUT013
NCC06,2020.392149020441,OUT018
FDW02,2012.4194571825124,OUT017
NCD43,1647.2740950748325,OUT017
FDM57,1336.6897384668237,OUT018
FDA58,3817.2258084757627,OUT017
FDK56,3139.526969020964,OUT046
FDP52,3883.8761981120765,OUT045
FDW20,2009.8598917521354,OUT018
FDS52,1612.3051297811696,OUT049
NCT29,1931.8750596687908,OUT018
NCL54,2865.475696614708,OUT013
FDC05,3081.331776451712,OUT045
FDF34,3074.663512754525,OUT035
FDP03,2993.349145644334,OUT027
FDD32,191.43868025660646,OUT010
FDZ10,2015.939172958021,OUT045
FDZ40,880.5062791376746,OUT035
FDD51,616.115120073058,OUT018
NCY30,430.23839382167847,OUT019
FDP58,3651.7089452424725,OUT017
FDV49,4212.923231713007,OUT017
FDY24,131.76079577852545,OUT019
NCO55,1650.8446251574185,OUT017
FDR13,1923.4831659208783,OUT017
FDS51,999.4307167960228,OUT017
FDP26,1646.182743320098,OUT045
NCB54,3003.7384942493004,OUT027
FDF32,3066.4988556940552,OUT017
FDN31,3025.1477158034195,OUT018
DRM48,593.4755790550788,OUT017
FDN20,2771.1304424847576,OUT049
DRL01,3766.7791495919646,OUT046
FDV56,1644.22945832041,OUT049
DRH13,2891.4671742022033,OUT027
FDA03,2509.5848351159684,OUT017
FDF47,5841.936773929792,OUT027
FDX32,2513.7765197490294,OUT046
FDX57,1534.9200576025637,OUT049
NCA30,3017.2224022714595,OUT045
FDO49,826.292748323968,OUT013
FDL04,249.82119599431343,OUT019
DRM48,599.3723852122554,OUT035
FDR16,3541.7923499018902,OUT013
NCC19,3031.61777304244,OUT018
NCE42,3930.8050239010295,OUT045
FDY24,881.5507529354311,OUT017
FDH19,2844.412219525094,OUT049
FDJ46,2848.128851851943,OUT013
FDN45,573.243013353207,OUT010
FDY08,2014.701996987859,OUT035
FDZ37,1365.1712447232549,OUT035
NCT30,761.8656604324311,OUT045
DRY23,615.7832924045046,OUT018
NCZ30,1999.8640516731602,OUT018
FDC44,1853.5679272599075,OUT018
FDB45,1646.182743320098,OUT035
FDY04,2564.3785713606103,OUT013
FDM27,2573.431892647924,OUT046
FDZ43,3956.0466032531426,OUT017
FDT39,368.06998586686825,OUT019
NCC06,283.8986410631914,OUT019
FDL15,4079.6869699477725,OUT027
FDL57,4108.104532203013,OUT017
FDU08,1566.432613287201,OUT046
FDK40,4210.654931433298,OUT017
FDQ12,570.9577800400975,OUT010
FDS48,2506.9071874387355,OUT017
FDP09,3677.9834679934047,OUT045
FDW21,1565.64434106346,OUT049
FDY25,3080.8486268775305,OUT035
DRE13,1358.445013836638,OUT017
FDV43,131.76079577852545,OUT019
FDD22,1742.3494778209706,OUT045
FDM46,235.58222748194913,OUT019
NCO30,472.9878118762506,OUT010
FDM25,2858.1902123477894,OUT046
NCN41,2036.1443793794156,OUT049
FDU24,1453.57727285274,OUT045
FDZ50,3146.259298255588,OUT046
FDP45,4047.3194263708924,OUT013
NCM54,2010.1241237196332,OUT045
FDW10,422.0596892423961,OUT019
FDP20,2012.3531348013016,OUT017
FDK32,2513.527429749622,OUT046
FDN52,1363.0030723374093,OUT049
FDM58,1725.4496210016032,OUT045
FDZ46,2924.7038216136743,OUT027
NCA18,1860.141286226904,OUT018
FDD35,2091.171695619788,OUT046
NCK31,758.8773763066629,OUT035
FDI40,2861.854208677874,OUT027
FDT50,238.37957278387304,OUT019
NCT06,2627.676568586184,OUT046
FDT31,3023.5481398802162,OUT035
FDT45,868.615730433753,OUT049
FDT13,3082.0194188439823,OUT045
FDO50,1382.0160759074051,OUT045
NCU18,278.2120284245726,OUT010
